"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.pmiscience.com/zh-cht/science/long-term-assessment","text/html; charset=utf-8","200","OK","Indexable","","長期評估 | PMI Science","18","206","","0","0","","0","","0","長期評估","4","","0","","0","","","","https://www.pmiscience.com/zh-cht/science/long-term-assessment","","","","","50413","193","3,926","2","","41","21","5,130","70","45","6","6","","","","","74d56371da6c1697de3d272a2a721b52","1,147","","","","https://www.pmiscience.com/zh-cht/science/long-term-assessment"
"https://www.pmiscience.com/zh-cht/home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Home","4","51","","0","0","","0","","0","","0","我們正在打造一個無煙未來","12","","0","","","","https://www.pmiscience.com/zh-cht","","","","","41663","141","2,908","1","","28","23","5,620","60","51","5","5","","","","","facff07ba41b373ccb4cfe488a40193e","1,596","","","","https://www.pmiscience.com/zh-cht/home"
"https://www.pmiscience.com/zh-chs/science/long-term-assessment","text/html; charset=utf-8","200","OK","Indexable","","长期评估 | PMI Science","18","206","","0","0","","0","","0","长期评估","4","","0","","0","","","","https://www.pmiscience.com/zh-chs/science/long-term-assessment","","","","","50618","175","3,952","2","","41","21","5,130","69","44","6","6","","","","","c8dbaeec7e0f876c6f884c0dc59892ed","1,345","","","","https://www.pmiscience.com/zh-chs/science/long-term-assessment"
"https://www.pmiscience.com/zh-chs/home","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Home","4","51","","0","0","","0","","0","","0","我们正在设计一个无烟气未来","13","","0","","","","https://www.pmiscience.com/zh-chs","","","","","41498","141","2,982","1","","28","23","5,620","59","50","5","5","","","","","4ed557a075fa3710e2e6a9df689961f8","1,717","","","","https://www.pmiscience.com/zh-chs/home"
"https://www.pmiscience.com/whats-new/why-we-don't-need-combustion","text/html; charset=utf-8","200","OK","Indexable","","Why we don't need combustion | PMI Science","42","402","Heating, not burning, reduces harmful chemicals in smoke","56","364","combustion, heating, burning, HPHCs, chemicals, smoke, aerosol, torrefaction, pyrolysis, tobacco","96","Why we don't need combustion","28","","0","First: what is combustion?","26","The best choice: stop smoking completely","40","","","","https://www.pmiscience.com/whats-new/why-we-don't-need-combustion","","","","","56235","1467","16,445","2","","28","4","0,980","62","32","10","9","","","","","332443f1992e59ef2574f16d7aa85712","1,638","","","","https://www.pmiscience.com/whats-new/why-we-don't-need-combustion"
"https://www.pmiscience.com/whats-new/when-science-meets-law","text/html; charset=utf-8","200","OK","Indexable","","When Science Meets Law | PMI Science","36","358","In March this year, Philip Morris New Zealand participated in a trial to determine whether it was breaking the law to sell Platform 1 and associated tobacco units in New Zealand.","178","1098","","0","When science meets law","22","","0","Understand Our Scientific Approach","34","","0","","","","https://www.pmiscience.com/whats-new/when-science-meets-law","","","","","50269","785","9,307","2","","20","2","0,490","64","38","9","8","","","","","66cc28ee604b12689134d06551171a31","1,228","","","","https://www.pmiscience.com/whats-new/when-science-meets-law"
"https://www.pmiscience.com/whats-new/what-is-tobacco-harm-reduction-smoker-risk?autoplay=true","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","What is harm reduction | PMI Science","36","331","Dr. Patrick Picavet explains why a smoker's risks and the population harm both matter for tobacco harm reduction.","113","716","tobacco harm reduction, THR, harm reduction, risk","49","What is harm reduction?","23","","0","","0","","0","","","","https://www.pmiscience.com/whats-new/what-is-tobacco-harm-reduction-smoker-risk","","","","","46691","619","7,614","1","","20","4","0,980","54","31","6","6","","","","","12fa206d366b30f406e3df0d1ad41fc2","1,597","","","","https://www.pmiscience.com/whats-new/what-is-tobacco-harm-reduction-smoker-risk?autoplay=true"
"https://www.pmiscience.com/whats-new/what-is-tobacco-harm-reduction-smoker-risk","text/html; charset=utf-8","200","OK","Indexable","","What is harm reduction | PMI Science","36","331","Dr. Patrick Picavet explains why a smoker's risks and the population harm both matter for tobacco harm reduction.","113","716","tobacco harm reduction, THR, harm reduction, risk","49","What is harm reduction?","23","","0","","0","","0","","","","https://www.pmiscience.com/whats-new/what-is-tobacco-harm-reduction-smoker-risk","","","","","46438","619","7,655","2","","27","6","1,470","54","30","6","6","","","","","23408d32d1da6af972b2521164d06a93","1,267","","","","https://www.pmiscience.com/whats-new/what-is-tobacco-harm-reduction-smoker-risk"
"https://www.pmiscience.com/whats-new/what-is-tar","text/html; charset=utf-8","200","OK","Indexable","","What does cigarette tar measure | PMI Science","45","419","Explaining what the measurement of “tar” on a cigarette package means","69","453","tar, cigarette, nicotine, water, weight","39","What is tar?","12","","0","Related Articles","16","","0","","","","https://www.pmiscience.com/whats-new/what-is-tar","","","","","46207","604","7,457","2","","22","3","0,730","55","31","8","7","","","","","2d98df7daa70db87b6145aaa67d2040a","0,214","","","","https://www.pmiscience.com/whats-new/what-is-tar"
"https://www.pmiscience.com/whats-new/what-evidence-is-available-for-smoke-free-products","text/html; charset=utf-8","200","OK","Indexable","","What evidence is available for smoke-free products | PMI Science","64","578","","0","0","","0","What scientific evidence is available on the risk profile of our smoke-free products?","85","","0","","0","","0","","","","https://www.pmiscience.com/whats-new/what-evidence-is-available-for-smoke-free-products","","","","","46604","920","12,008","2","","22","5","1,220","56","27","6","6","","","","","447b350090b1a074ca24406f7e87f7db","2,015","","","","https://www.pmiscience.com/whats-new/what-evidence-is-available-for-smoke-free-products"
